Fathers,Period of the Early Church,Distance to Nicaea (km),Distance to Constantinople (km),Distance to Ephesus (km),Distance to Chalcedon (km),Closest Council,Distance to Closest Council (to the nearest km)
5,Ante-Nicene,1448,1374,1337,1381,Ephesus,1337
1,Ante-Nicene,314,328,56,328,Ephesus,56
3,Ante-Nicene,733,822,807,815,Nicaea,733
8,Ante-Nicene,1026,1094,785,1090,Ephesus,785
1,Ante-Nicene,284,345,156,341,Ephesus,156
1,Ante-Nicene,1037,1126,960,1119,Ephesus,960
2,Ante-Nicene,2095,2011,2046,2019,Constantinople,2011
1,Ante-Nicene,1064,997,934,1004,Ephesus,934
1,Ante-Nicene,1338,1418,1492,1410,Nicaea,1338
2,Ante-Nicene,584,563,317,566,Ephesus,317
3,Ante-Nicene,1726,1674,1505,1680,Ephesus,1505
1,Ante-Nicene,611,672,877,665,Nicaea,611
1,Ante-Nicene,1065,1152,972,1145,Ephesus,972
2,Ante-Nicene,760,850,798,843,Nicaea,760
2,Ante-Nicene,480,563,658,556,Nicaea,480
1,Ante-Nicene,1067,1143,867,1138,Ephesus,867
2,Ante-Nicene,994,1082,913,1076,Ephesus,913
1,Ante-Nicene,764,735,503,739,Ephesus,503
1,Ante-Nicene,1888,1836,1661,1842,Ephesus,1661
1,Ante-Nicene,41,83,384,76,Nicaea,41
1,Ante-Nicene,1410,1331,1334,1339,Constantinople,1331
1,Ante-Nicene,1298,1210,1332,1217,Constantinople,1210
1,Ante-Nicene,584,564,317,567,Ephesus,317
1,Nicene and Post-Nicene,1939,1884,1728,1890,Ephesus,1728
7,Nicene and Post-Nicene,90,0,369,8,Constantinople,0
1,Nicene and Post-Nicene,750,837,860,830,Nicaea,750
1,Nicene and Post-Nicene,1191,1104,1210,1111,Constantinople,1104
1,Nicene and Post-Nicene,1490,1404,1479,1412,Constantinople,1404
1,Nicene and Post-Nicene,398,482,587,474,Nicaea,398
1,Nicene and Post-Nicene,1081,1168,992,1162,Ephesus,992
1,Nicene and Post-Nicene,435,523,586,515,Nicaea,435
1,Nicene and Post-Nicene,529,610,715,603,Nicaea,529
1,Nicene and Post-Nicene,2449,2364,2404,2372,Constantinople,2364
1,Nicene and Post-Nicene,964,1054,944,1047,Ephesus,944
1,Nicene and Post-Nicene,1756,1672,1717,1679,Constantinople,1672
1,Nicene and Post-Nicene,2440,2359,2366,2367,Constantinople,2359
1,Nicene and Post-Nicene,1898,1819,1812,1827,Ephesus,1812
1,Nicene and Post-Nicene,2033,1955,1940,1962,Ephesus,1940
1,Nicene and Post-Nicene,865,948,1012,940,Nicaea,865
3,Nicene and Post-Nicene,1448,1374,1337,1381,Ephesus,1337
4,Nicene and Post-Nicene,1026,1094,785,1090,Ephesus,785
1,Nicene and Post-Nicene,326,314,182,316,Ephesus,182
1,Nicene and Post-Nicene,1307,1275,1200,1278,Ephesus,1200
1,Nicene and Post-Nicene,250,289,161,287,Ephesus,161
1,Ante-Nicene,978,933,954,937,Constantinople,933
1,Ante-Nicene,263,283,434,280,Nicaea,263
1,Nicene and Post-Nicene,625,694,861,687,Nicaea,625
1,Nicene and Post-Nicene,"3,086","3,019.00","2,918.00","3,025",Ephesus,2918
1,Nicene and Post-Nicene,733,822,807,815,Nicaea,733
1,Nicene and Post-Nicene,1253,1332,1410,1324,Nicaea,1253
2,Nicene and Post-Nicene,1659,1735,1449,1730,Ephesus,1449
1,Nicene and Post-Nicene,1615,1690,1399,1685,Ephesus,1399
